Module Department,Module Code,Event ID,Event Type,Duration (minutes),Event Size,Timeslot,Number of Weeks,Weeks,Room,Room Type 1,Room type 2,Building,Campus,Day,Start_Time,Time_Blocks,Session_ID
Moray House School of Education and Sport,SPRT08022,E:MS529ZZJSY,Lecture,110,160.0,Friday 11:00,11,26,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Friday,11:00,2,E:MS529ZZJSY_W26
Moray House School of Education and Sport,SPRT08022,E:MS529ZZJSY-00001,Lecture,50,160.0,Monday 15:00,11,29,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,15:00,1,E:MS529ZZJSY-00001_W29
Moray House School of Education and Sport,SPRT08022,E:MS529ZZJSY-00001,Lecture,50,160.0,Monday 15:00,11,37,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,15:00,1,E:MS529ZZJSY-00001_W37
Moray House School of Education and Sport,SPRT08022,E:MS529ZZJSY-00001,Lecture,50,160.0,Monday 15:00,11,26,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,15:00,1,E:MS529ZZJSY-00001_W26
Moray House School of Education and Sport,SPRT08022,E:MS529ZZJSY-00001,Lecture,50,160.0,Monday 15:00,11,35,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,15:00,1,E:MS529ZZJSY-00001_W35
Moray House School of Education and Sport,SPRT08022,E:MS529ZZJSY-00001,Lecture,50,160.0,Monday 15:00,11,34,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,15:00,1,E:MS529ZZJSY-00001_W34
Moray House School of Education and Sport,SPRT08022,E:MS529ZZJSY-00001,Lecture,50,160.0,Monday 15:00,11,30,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,15:00,1,E:MS529ZZJSY-00001_W30
Moray House School of Education and Sport,SPRT08022,E:MS529ZZJSY-00001,Lecture,50,160.0,Monday 15:00,11,36,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,15:00,1,E:MS529ZZJSY-00001_W36
Moray House School of Education and Sport,SPRT08022,E:MS529ZZJSY-00001,Lecture,50,160.0,Monday 15:00,11,33,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,15:00,1,E:MS529ZZJSY-00001_W33
Moray House School of Education and Sport,SPRT08022,E:MS529ZZJSY,Lecture,110,160.0,Friday 11:00,11,27,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Friday,11:00,2,E:MS529ZZJSY_W27
Moray House School of Education and Sport,SPRT08022,E:MS529ZZJSY,Lecture,110,160.0,Friday 11:00,11,33,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Friday,11:00,2,E:MS529ZZJSY_W33
Moray House School of Education and Sport,SPRT08022,E:MS529ZZJSY,Lecture,110,160.0,Friday 11:00,11,35,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Friday,11:00,2,E:MS529ZZJSY_W35
Moray House School of Education and Sport,SPRT08022,E:MS529ZZJSY,Lecture,110,160.0,Friday 11:00,11,34,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Friday,11:00,2,E:MS529ZZJSY_W34
Moray House School of Education and Sport,SPRT08021,E:7T228VUIHY,Lecture,110,150.0,Tuesday 14:00,11,10,0591_-1_B1.11,Centrally Allocated Space,General Teaching,Outreach Centre,Holyrood,Tuesday,14:00,2,E:7T228VUIHY_W10
Moray House School of Education and Sport,SPRT08021,E:7T228VUIHY-00001,Lecture,50,150.0,Friday 13:00,9,13,0591_-1_B1.11,Centrally Allocated Space,General Teaching,Outreach Centre,Holyrood,Friday,13:00,1,E:7T228VUIHY-00001_W13
Business School,BUST08027,E:9G2K3GEPX8,Lecture,110,150.0,Tuesday 15:00,10,32,0591_-1_B1.11,Centrally Allocated Space,General Teaching,Outreach Centre,Holyrood,Tuesday,15:00,2,E:9G2K3GEPX8_W32
Moray House School of Education and Sport,EDUA11282,E:6OHY8WTUDV,Lecture,50,150.0,Wednesday 11:00,10,36,0591_-1_B1.11,Centrally Allocated Space,General Teaching,Outreach Centre,Holyrood,Wednesday,11:00,1,E:6OHY8WTUDV_W36
Moray House School of Education and Sport,EDUA11282,E:6OHY8WTUDV,Lecture,50,150.0,Wednesday 11:00,10,33,0591_-1_B1.11,Centrally Allocated Space,General Teaching,Outreach Centre,Holyrood,Wednesday,11:00,1,E:6OHY8WTUDV_W33
